,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 09:57:00,5.998831e-07,9.960479e-06,0,0
2024-05-14 09:58:00,6.0960593e-07,1.0071299e-05,0,0
2024-05-14 09:59:00,6.0817695e-07,1.0154936e-05,0,0
2024-05-14 10:00:00,6.1051935e-07,1.0239069e-05,0,0
2024-05-14 10:01:00,6.097692e-07,1.0319883e-05,0,0
2024-05-14 10:02:00,6.109959e-07,1.0408999e-05,0,0
2024-05-14 10:03:00,6.141229e-07,1.04845285e-05,0,0
2024-05-14 10:04:00,6.388879e-07,1.0701181e-05,0,0
2024-05-14 10:05:00,7.0714816e-07,1.1139302e-05,0,0
2024-05-14 10:06:00,7.492662e-07,1.1532811e-05,0,0
2024-05-14 10:07:00,7.4317643e-07,1.169575e-05,0,0
2024-05-14 10:08:00,7.279984e-07,1.1762856e-05,0,0
2024-05-14 10:09:00,6.948539e-07,1.1635107e-05,0,0
2024-05-14 10:10:00,6.672997e-07,1.15078055e-05,0,0
2024-05-14 10:11:00,6.4313457e-07,1.1344535e-05,0,0
2024-05-14 10:12:00,6.224317e-07,1.1145864e-05,0,0
2024-05-14 10:13:00,6.1100906e-07,1.1013624e-05,0,0
2024-05-14 10:14:00,6.034379e-07,1.0919884e-05,0,0
2024-05-14 10:15:00,5.9016264e-07,1.0814872e-05,0,0
2024-05-14 10:16:00,5.9593697e-07,1.0800996e-05,0,0
2024-05-14 10:17:00,6.0688996e-07,1.0874924e-05,0,0
2024-05-14 10:18:00,6.0116605e-07,1.088091e-05,0,0
2024-05-14 10:19:00,5.866461e-07,1.0805192e-05,0,0
2024-05-14 10:20:00,5.7354526e-07,1.0727788e-05,0,0
2024-05-14 10:21:00,5.632307e-07,1.0676743e-05,0,0
2024-05-14 10:22:00,5.5243083e-07,1.0612788e-05,0,0
2024-05-14 10:23:00,5.435435e-07,1.0519644e-05,0,0
2024-05-14 10:24:00,5.3761187e-07,1.0455348e-05,0,0
2024-05-14 10:25:00,5.322823e-07,1.0448878e-05,0,0
2024-05-14 10:26:00,5.4186313e-07,1.0552411e-05,0,0
2024-05-14 10:27:00,5.595438e-07,1.0686889e-05,0,0
2024-05-14 10:28:00,5.530618e-07,1.0697953e-05,0,0
2024-05-14 10:29:00,5.436342e-07,1.0679323e-05,0,0
2024-05-14 10:30:00,5.322892e-07,1.061847e-05,0,0
2024-05-14 10:31:00,5.1856824e-07,1.054013e-05,0,0
2024-05-14 10:32:00,5.049091e-07,1.04483315e-05,0,0
2024-05-14 10:33:00,4.9961324e-07,1.037611e-05,0,0
2024-05-14 10:34:00,4.822665e-07,1.0267659e-05,0,0
2024-05-14 10:35:00,4.7033922e-07,1.0150146e-05,0,0
2024-05-14 10:36:00,4.6259697e-07,1.0046588e-05,0,0
2024-05-14 10:37:00,4.6736096e-07,1.0039537e-05,0,0
2024-05-14 10:38:00,4.4816437e-07,9.906092e-06,0,0
2024-05-14 10:39:00,4.3463143e-07,9.756096e-06,0,0
2024-05-14 10:40:00,4.2558023e-07,9.637176e-06,0,0
2024-05-14 10:41:00,4.2272055e-07,9.566644e-06,0,0
2024-05-14 10:42:00,4.13799e-07,9.471267e-06,0,0
2024-05-14 10:43:00,4.0981215e-07,9.396562e-06,0,0
2024-05-14 10:44:00,4.013609e-07,9.309416e-06,0,0
2024-05-14 10:45:00,3.9499406e-07,9.204691e-06,0,0
2024-05-14 10:46:00,3.9133462e-07,9.127015e-06,0,0
2024-05-14 10:47:00,3.8781533e-07,9.0712765e-06,0,0
2024-05-14 10:48:00,3.82347e-07,8.984271e-06,0,0
2024-05-14 10:49:00,3.8653187e-07,8.965023e-06,0,0
2024-05-14 10:50:00,3.994426e-07,8.998633e-06,0,0
2024-05-14 10:51:00,4.1897812e-07,9.029914e-06,0,0
2024-05-14 10:52:00,4.262092e-07,9.035556e-06,0,0
2024-05-14 10:53:00,4.2587712e-07,9.020949e-06,0,0
2024-05-14 10:54:00,4.232251e-07,9.008545e-06,0,0
2024-05-14 10:55:00,4.1314615e-07,8.946245e-06,0,0
2024-05-14 10:56:00,4.0284257e-07,8.86436e-06,0,0
2024-05-14 10:57:00,4.0345378e-07,8.817776e-06,0,0
2024-05-14 10:58:00,4.0543273e-07,8.813503e-06,0,0
2024-05-14 10:59:00,4.0233047e-07,8.783024e-06,0,0
2024-05-14 11:00:00,3.846665e-07,8.674863e-06,0,0
2024-05-14 11:01:00,3.6710756e-07,8.551782e-06,0,0
2024-05-14 11:02:00,3.5301954e-07,8.434655e-06,0,0
2024-05-14 11:03:00,3.4325558e-07,8.328449e-06,0,0
2024-05-14 11:04:00,3.3282666e-07,8.237168e-06,0,0
2024-05-14 11:05:00,3.273422e-07,8.166643e-06,0,0
2024-05-14 11:06:00,3.239351e-07,8.131438e-06,0,0
2024-05-14 11:07:00,3.1842544e-07,8.083972e-06,0,0
2024-05-14 11:08:00,3.1930907e-07,8.059518e-06,0,0
2024-05-14 11:09:00,3.3610368e-07,8.145131e-06,0,0
2024-05-14 11:10:00,3.333016e-07,8.1537455e-06,0,0
2024-05-14 11:11:00,3.3244086e-07,8.11164e-06,0,0
2024-05-14 11:12:00,3.412357e-07,8.1511735e-06,0,0
2024-05-14 11:13:00,3.9829789e-07,8.465994e-06,0,0
2024-05-14 11:14:00,3.5983166e-07,8.3918185e-06,0,0
2024-05-14 11:15:00,3.2528573e-07,8.192986e-06,0,0
2024-05-14 11:16:00,3.082159e-07,8.028942e-06,0,0
2024-05-14 11:17:00,3.042456e-07,7.966922e-06,0,0
2024-05-14 11:18:00,3.002922e-07,7.916477e-06,0,0
2024-05-14 11:19:00,2.898491e-07,7.818674e-06,0,0
2024-05-14 11:20:00,2.8299553e-07,7.723777e-06,0,0
2024-05-14 11:21:00,2.7825777e-07,7.664757e-06,0,0
2024-05-14 11:22:00,3.1196547e-07,7.721216e-06,0,0
2024-05-14 11:23:00,3.8000744e-07,7.95509e-06,0,0
2024-05-14 11:24:00,3.911514e-07,8.048558e-06,0,0
